Condition ID,Description,Control,Time (min),PMID,Organism,Biological Sample,Labelling Type,Labelling Method,Spectrometer,Enrichment,Condition label,Total Sites In Atlas
1286_271,Citreoviridin,Control,2160.0,26503892,9606,CL1â€“ 0 (Lung adenocarcinoma),chemical,Methyl esterification,LTQ Orbitrap XL,,Citreoviridin_2160.00m,1383
1287_271,Citreoviridin,Control,2880.0,26503892,9606,CL1â€“ 0 (Lung adenocarcinoma),chemical,Methyl esterification,LTQ Orbitrap XL,,Citreoviridin_2880.00m,1590
1288_272,AKTi (Akt inhibitor VIII),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,AKTi (Akt inhibitor VIII),7722
1289_272,AKTi (MK-2206),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,AKTi (MK-2206),7722
1290_272,CAMK2i (KN-93),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,CAMK2i (KN-93),7722
1291_272,CAMK2i (KN-62) ,Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,CAMK2i (KN-62) ,7722
1292_272,EGFRi (PD-168393),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,EGFRi (PD-168393),7722
1293_272,EGFRi (PD-153035),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,EGFRi (PD-153035),7722
1294_272,ERKi (ERK inhibitor),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,ERKi (ERK inhibitor),7722
1295_272,ERKi (ERK inhibitor II),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,ERKi (ERK inhibitor II),7722
1296_272,MEKi (GSK-1120212) ,Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,MEKi (GSK-1120212) ,7722
1297_272,MEKi (U0126) ,Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,MEKi (U0126) ,7722
1298_272,mTORi (KU-0063794) ,Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,mTORi (KU-0063794) ,7722
1299_272,mTORi (Torin-1),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,mTORi (Torin-1),7722
1300_272,P70S6K1i (PF-4708671),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,P70S6K1i (PF-4708671),7722
1301_272,P70S6K1i (DG2),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,P70S6K1i (DG2),7722
1302_272,PI3Ki (GDC-0941),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,PI3Ki (GDC-0941),7722
1303_272,PI3Ki (PI-103),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,PI3Ki (PI-103),7722
1304_272,PKCi (GÃ¶-6976),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,PKCi (GÃ¶-6976),7722
1305_272,PKCi (BIM-1),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,PKCi (BIM-1),7722
1306_272,PP2Ai (Okadaic acid),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,PP2Ai (Okadaic acid),7722
1307_272,PP2Ai (Cantharidic acid),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,PP2Ai (Cantharidic acid),7722
1308_272,ROCKi (H-1152),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,ROCKi (H-1152),7722
1309_272,ROCKi (Y-27632),Control,,26060313,9606,MCF7,free,,LTQ Orbitrap,TiO2,ROCKi (Y-27632),7722
1310_273,Differentiation (PMA),Control,5.0,26307563,9606,THP-1,metabolic,SILAC,LTQ Orbitrap,TiO2,Differentiation (PMA)_vs_Control_5.00m,792
1311_273,Differentiation (PMA),Control,15.0,26307563,9606,THP-1,metabolic,SILAC,LTQ Orbitrap,TiO2,Differentiation (PMA)_vs_Control_15.00m,792
1312_273,Differentiation (PMA),Control,30.0,26307563,9606,THP-1,metabolic,SILAC,LTQ Orbitrap,TiO2,Differentiation (PMA)_vs_Control_30.00m,281
1313_273,Differentiation (PMA),Control,60.0,26307563,9606,THP-1,metabolic,SILAC,LTQ Orbitrap,TiO2,Differentiation (PMA)_vs_Control_60.00m,281
1314_274,shPP6c (Taxol),Control,,26462736,9606,HeLa,chemical,Methyl esterification,Fusion Orbitrap Tribrid,TiO2,shPP6c (Taxol),16551
1315_275,NGF (TrkA overexpression),Control,10.0,25921289,9606,SH-SY5Y neuroblastoma cells,metabolic,SILAC,Orbitrap (Q Exactive),TiO2,NGF (TrkA overexpression)_10.00m,7659
1316_275,NGF (TrkA overexpression),Control,45.0,25921289,9606,SH-SY5Y neuroblastoma cells,metabolic,SILAC,Orbitrap (Q Exactive),TiO2,NGF (TrkA overexpression)_45.00m,7651
1317_275,NGF (TrkA overexpression),Control,120.0,25921289,9606,SH-SY5Y neuroblastoma cells,metabolic,SILAC,Orbitrap (Q Exactive),TiO2,NGF (TrkA overexpression)_120.00m,8226
1320_277,Selumetinib (AZD6244),Control,,25850435,9606,WM239A,metabolic,SILAC,LTQ Orbitrap Velos,TiO2,Selumetinib (AZD6244),10090
1321_277,Selumetinib (AZD6244),Control,,25850435,9606,WM239A,metabolic,SILAC,LTQ Orbitrap Velos,TiO2,Selumetinib (AZD6244),11108
1322_277,Selumetinib (AZD6244),Control,,25850435,9606,WM239A,metabolic,SILAC,LTQ Orbitrap Velos,TiO2,Selumetinib (AZD6244),10778
1323_277,Vemurafenib (PLX4032),Control,,25850435,9606,WM239A,metabolic,SILAC,LTQ Orbitrap Velos,TiO2,Vemurafenib (PLX4032)_vs_Control,10093
1324_277,Vemurafenib (PLX4032),Control,,25850435,9606,WM239A,metabolic,SILAC,LTQ Orbitrap Velos,TiO2,Vemurafenib (PLX4032)_vs_Control,11109
1325_277,Vemurafenib (PLX4032),Control,,25850435,9606,WM239A,metabolic,SILAC,LTQ Orbitrap Velos,TiO2,Vemurafenib (PLX4032)_vs_Control,10778
1326_277,Vemurafenib (PLX4032),Selumetinib (AZD6244),,25850435,9606,WM239A,metabolic,SILAC,LTQ Orbitrap Velos,TiO2,Vemurafenib (PLX4032)_vs_Selumetinib (AZD6244),10083
1327_277,Vemurafenib (PLX4032),Selumetinib (AZD6244),,25850435,9606,WM239A,metabolic,SILAC,LTQ Orbitrap Velos,TiO2,Vemurafenib (PLX4032)_vs_Selumetinib (AZD6244),11103
1328_277,Vemurafenib (PLX4032),Selumetinib (AZD6244),,25850435,9606,WM239A,metabolic,SILAC,LTQ Orbitrap Velos,TiO2,Vemurafenib (PLX4032)_vs_Selumetinib (AZD6244),10771
1329_278,anti-CD3 + anti-CD28,Control,15.0,26546556,9606,JE6.1,chemical,TMT,LTQ Orbitrap XL,TiO2_IMAC,anti-CD3 + anti-CD28_15.00m,2323
1330_278,anti-CD3 + anti-CD28,Control,30.0,26546556,9606,JE6.1,chemical,TMT,LTQ Orbitrap XL,TiO2_IMAC,anti-CD3 + anti-CD28_30.00m,2323
